REC_NO,AFFINITY_CARD,CUST_GENDER,AGE,OCCUPATION,CUST_INCOME_LEVEL,CUST_MARITAL_STATUS,HOUSEHOLD_SIZE,YRS_RESIDENCE,PROD_NAME,PROD_CATEGORY,PROD_SUBCATEGORY,PROD_LIST_PRICE,QUANTITY_SOLD,AMOUNT_SOLD,COUNTRY_NAME
1331,0,M,64,?,"K: 250,000 - 299,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1332,0,F,17,?,"G: 130,000 - 149,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1333,0,M,26,Crafts,"J: 190,000 - 249,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1334,0,M,55,Exec.,"I: 170,000 - 189,999",Married,3,14,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1335,0,F,19,Sales,"D: 70,000 - 89,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1336,1,M,59,Protec.,"J: 190,000 - 249,999",Separ.,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1337,0,M,46,Farming,"G: 130,000 - 149,999",Mabsent,2,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1338,0,F,31,Sales,"H: 150,000 - 169,999",NeverM,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1339,1,M,52,Protec.,"A: Below 30,000",Married,3,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1340,0,M,24,Prof.,"L: 300,000 and above",Married,3,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1341,0,F,20,Sales,"L: 300,000 and above",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1342,1,F,35,Sales,"I: 170,000 - 189,999",Married,4-5,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1343,0,F,21,Prof.,"K: 250,000 - 299,999",NeverM,2,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1344,0,M,62,Other,"H: 150,000 - 169,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1345,1,M,43,Exec.,"I: 170,000 - 189,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1346,0,M,25,Sales,"K: 250,000 - 299,999",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1347,1,M,34,TechSup,"J: 190,000 - 249,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1348,1,M,26,Transp.,"J: 190,000 - 249,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1349,1,M,34,Crafts,"G: 130,000 - 149,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1350,0,M,44,Protec.,"L: 300,000 and above",Divorc.,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1351,1,M,54,Sales,"L: 300,000 and above",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1352,0,M,50,Crafts,"I: 170,000 - 189,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1353,1,M,43,Prof.,"C: 50,000 - 69,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1354,0,M,36,Exec.,"D: 70,000 - 89,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1355,0,M,48,Exec.,"K: 250,000 - 299,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1356,0,M,26,Other,"C: 50,000 - 69,999",NeverM,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1357,0,M,54,Crafts,"B: 30,000 - 49,999",Separ.,9+,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1358,0,M,19,Farming,"L: 300,000 and above",NeverM,6-8,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1359,0,F,20,Other,"F: 110,000 - 129,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1360,1,M,49,Exec.,"H: 150,000 - 169,999",Divorc.,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1361,0,M,19,?,"G: 130,000 - 149,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1362,0,M,20,?,"K: 250,000 - 299,999",NeverM,6-8,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1363,1,M,42,Prof.,"G: 130,000 - 149,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1364,0,F,58,Cleric.,"J: 190,000 - 249,999",Divorc.,9+,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1365,0,F,81,Cleric.,"L: 300,000 and above",Divorc.,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1366,0,M,44,Crafts,"G: 130,000 - 149,999",NeverM,6-8,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1367,0,M,47,Crafts,"H: 150,000 - 169,999",Divorc.,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1368,0,M,62,?,"I: 170,000 - 189,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1369,0,M,34,Crafts,"E: 90,000 - 109,999",NeverM,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1370,0,M,24,Exec.,"D: 70,000 - 89,999",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1371,1,M,42,Sales,"B: 30,000 - 49,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1372,0,F,42,Farming,"L: 300,000 and above",Married,4-5,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1373,0,F,21,Other,"L: 300,000 and above",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1374,0,F,36,Prof.,"J: 190,000 - 249,999",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1375,0,F,46,TechSup,"K: 250,000 - 299,999",Divorc.,2,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1376,0,F,40,Other,"B: 30,000 - 49,999",Divorc.,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1377,0,F,56,Machine,"A: Below 30,000",Separ.,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1378,0,F,38,Cleric.,"L: 300,000 and above",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1379,1,F,38,Cleric.,"J: 190,000 - 249,999",Married,4-5,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1380,0,M,36,TechSup,"L: 300,000 and above",NeverM,1,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1381,0,F,29,Other,"G: 130,000 - 149,999",Married,4-5,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1382,0,M,37,Handler,"E: 90,000 - 109,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1383,0,M,45,Crafts,"K: 250,000 - 299,999",Married,3,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1384,0,M,42,Prof.,"I: 170,000 - 189,999",Divorc.,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1385,0,M,49,Other,"F: 110,000 - 129,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1386,0,M,29,Transp.,"C: 50,000 - 69,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1387,1,M,48,Exec.,"J: 190,000 - 249,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1388,0,M,24,Crafts,"H: 150,000 - 169,999",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1389,0,M,18,Handler,"B: 30,000 - 49,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1390,1,M,62,Exec.,"I: 170,000 - 189,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1391,0,M,58,Crafts,"J: 190,000 - 249,999",Divorc.,2,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1392,0,M,25,Prof.,"I: 170,000 - 189,999",NeverM,1,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1393,0,F,65,Cleric.,"E: 90,000 - 109,999",Widowed,2,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1394,0,M,21,Machine,"B: 30,000 - 49,999",Divorc.,6-8,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1395,1,F,40,Prof.,"J: 190,000 - 249,999",Married,4-5,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1396,1,M,58,Prof.,"L: 300,000 and above",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1397,0,M,24,Handler,"K: 250,000 - 299,999",Married,3,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1398,0,M,59,Other,"L: 300,000 and above",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1399,0,F,43,Cleric.,"B: 30,000 - 49,999",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1400,0,M,18,Handler,"G: 130,000 - 149,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1401,0,F,19,Prof.,"E: 90,000 - 109,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1402,0,M,44,Sales,"K: 250,000 - 299,999",Divorc.,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1403,0,M,21,Sales,"H: 150,000 - 169,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1404,0,M,22,Other,"F: 110,000 - 129,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1405,0,M,42,Crafts,"I: 170,000 - 189,999",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1406,0,F,32,Handler,"E: 90,000 - 109,999",NeverM,2,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1407,0,M,63,Farming,"D: 70,000 - 89,999",Married,3,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1408,0,M,30,Prof.,"B: 30,000 - 49,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1409,0,F,48,Other,"L: 300,000 and above",Widowed,9+,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1410,1,M,51,Exec.,"L: 300,000 and above",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1411,1,M,45,Exec.,"J: 190,000 - 249,999",Separ.,9+,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1412,0,F,24,Other,"I: 170,000 - 189,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1413,0,M,54,Transp.,"I: 170,000 - 189,999",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1414,1,M,35,Cleric.,"I: 170,000 - 189,999",NeverM,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1415,1,M,35,Farming,"I: 170,000 - 189,999",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1416,0,M,24,Exec.,"L: 300,000 and above",NeverM,6-8,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1417,0,M,35,Crafts,"C: 50,000 - 69,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1418,0,F,20,Other,"J: 190,000 - 249,999",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1419,1,M,45,Prof.,"H: 150,000 - 169,999",NeverM,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1420,0,M,54,Transp.,"I: 170,000 - 189,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1421,0,M,35,Crafts,"L: 300,000 and above",NeverM,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1422,1,M,37,Prof.,"B: 30,000 - 49,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1423,1,M,57,TechSup,"L: 300,000 and above",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1424,0,F,49,Machine,"F: 110,000 - 129,999",Separ.,9+,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1425,0,F,49,Transp.,"B: 30,000 - 49,999",NeverM,9+,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1426,1,M,55,Farming,"H: 150,000 - 169,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1427,0,F,36,Prof.,"G: 130,000 - 149,999",Widowed,1,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1428,0,M,54,Exec.,"H: 150,000 - 169,999",Divorc.,2,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1429,0,F,19,Machine,"G: 130,000 - 149,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1430,0,F,75,Cleric.,"I: 170,000 - 189,999",Widowed,2,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1431,0,F,38,Exec.,"G: 130,000 - 149,999",Separ.,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1432,0,M,24,Other,"L: 300,000 and above",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1433,1,M,34,Other,"J: 190,000 - 249,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1434,0,F,35,Cleric.,"J: 190,000 - 249,999",Divorc.,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1435,0,M,45,Prof.,"I: 170,000 - 189,999",Divorc.,2,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1436,0,M,23,?,"F: 110,000 - 129,999",NeverM,1,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1437,0,F,52,Sales,"J: 190,000 - 249,999",Widowed,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1438,0,M,40,Sales,"F: 110,000 - 129,999",NeverM,1,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1439,0,M,24,TechSup,"G: 130,000 - 149,999",Married,3,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1440,0,M,22,Prof.,"C: 50,000 - 69,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1441,0,M,21,?,"L: 300,000 and above",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1442,1,M,47,Sales,"I: 170,000 - 189,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1443,0,F,28,Transp.,"I: 170,000 - 189,999",Divorc.,9+,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1444,1,M,29,Sales,"H: 150,000 - 169,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1445,0,M,17,Handler,"E: 90,000 - 109,999",NeverM,1,0,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1446,1,M,33,Exec.,"I: 170,000 - 189,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1447,0,M,30,Sales,"F: 110,000 - 129,999",Mabsent,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1448,0,M,52,Exec.,"B: 30,000 - 49,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1449,0,M,49,Exec.,"J: 190,000 - 249,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1450,0,F,32,Other,"H: 150,000 - 169,999",Divorc.,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1451,0,M,18,Other,"K: 250,000 - 299,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1452,1,M,40,Exec.,"G: 130,000 - 149,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1453,0,F,54,Exec.,"F: 110,000 - 129,999",Divorc.,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1454,0,F,33,Sales,"F: 110,000 - 129,999",Widowed,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1455,0,M,25,TechSup,"C: 50,000 - 69,999",NeverM,2,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1456,0,M,40,Sales,"I: 170,000 - 189,999",NeverM,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1457,1,F,33,Exec.,"F: 110,000 - 129,999",Married,4-5,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1458,0,F,31,Cleric.,"C: 50,000 - 69,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1459,0,M,71,?,"J: 190,000 - 249,999",Married,3,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1460,0,F,18,TechSup,"D: 70,000 - 89,999",NeverM,1,0,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1461,0,F,32,Other,"F: 110,000 - 129,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1462,0,F,22,Machine,"I: 170,000 - 189,999",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1463,0,M,24,Prof.,"L: 300,000 and above",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1464,0,M,44,Prof.,"E: 90,000 - 109,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1465,1,M,79,?,"H: 150,000 - 169,999",Married,3,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1466,0,M,36,Machine,"L: 300,000 and above",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1467,0,M,20,Farming,"H: 150,000 - 169,999",NeverM,1,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1468,0,F,17,Cleric.,"G: 130,000 - 149,999",NeverM,1,0,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1469,0,M,36,Handler,"H: 150,000 - 169,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1470,0,F,62,Sales,"A: Below 30,000",Widowed,2,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1471,0,M,56,Crafts,"J: 190,000 - 249,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1472,0,F,36,Cleric.,"H: 150,000 - 169,999",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1473,0,M,17,Other,"G: 130,000 - 149,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1474,1,M,44,Crafts,"L: 300,000 and above",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1475,0,F,21,Cleric.,"E: 90,000 - 109,999",NeverM,2,1,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1476,0,M,42,Crafts,"J: 190,000 - 249,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1477,0,M,32,Other,"E: 90,000 - 109,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1478,1,M,55,Prof.,"J: 190,000 - 249,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1479,0,M,29,Sales,"J: 190,000 - 249,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1480,0,M,59,Other,"I: 170,000 - 189,999",Married,3,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1481,0,M,42,Transp.,"I: 170,000 - 189,999",Married,3,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1482,0,M,53,Crafts,"H: 150,000 - 169,999",Married,3,9,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1483,0,F,28,Prof.,"K: 250,000 - 299,999",NeverM,2,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1484,0,M,34,Crafts,"K: 250,000 - 299,999",Married,3,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1485,0,F,22,Sales,"L: 300,000 and above",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1486,0,F,29,Sales,"L: 300,000 and above",NeverM,1,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1487,1,F,51,TechSup,"J: 190,000 - 249,999",Married,4-5,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1488,1,M,38,Sales,"J: 190,000 - 249,999",Married,3,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1489,0,M,26,Crafts,"G: 130,000 - 149,999",NeverM,1,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1490,0,F,38,Prof.,"J: 190,000 - 249,999",Divorc.,9+,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1491,0,M,30,Machine,"E: 90,000 - 109,999",Divorc.,9+,3,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1492,1,M,50,Sales,"L: 300,000 and above",Married,3,8,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1493,0,F,20,Cleric.,"H: 150,000 - 169,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1494,0,F,44,Exec.,"J: 190,000 - 249,999",Divorc.,6-8,6,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1495,1,F,41,Exec.,"J: 190,000 - 249,999",Married,4-5,4,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1496,1,M,71,Sales,"G: 130,000 - 149,999",Married,3,7,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1497,0,M,23,Other,"L: 300,000 and above",NeverM,2,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1498,0,F,20,Sales,"F: 110,000 - 129,999",NeverM,1,2,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
1499,0,F,48,Sales,"I: 170,000 - 189,999",Divorc.,2,5,SIMM- 16MB PCMCIAII card,Peripherals and Accessories,Memory,149.99,1,149.99,USA
